# Diamond Light Source
# Instrument: B18-CORE XAS Date: Sat, 30 Jul 2016 05:21:42 BST
# Ring energy:   3.0
# Ring current - start: 301.1
# Primary slits:  vertical gap=  2.4; horizontal gap= 52.0; vertical offset=  0.4; horizontal offset= -1.0
# Secondary slits:  vertical gap=  5.0; horizontal gap= 23.0; vertical offset=  5.3; horizontal offset= -14.5
# OH Mirror Coating: Pt
# White beam filter: 140um PyC
# Crystal cut: Si(111)
# PostDCM slits:  vertical gap= 18.0; horizontal gap= 28.0; vertical offset= -9.1; horizontal offset= -16.5
# Experimental slits:  vertical gap= 30.0; horizontal gap= 45.0; vertical offset=  5.0; horizontal offset= -17.5
# HR Mirror : in; Y: -39.2; Pitch:  8.3; Coating: Pt
# Mirror 2: Pitch:  2.2; Height: -6.3; Yaw: -1.5; Bend:  0.8;
# I0 Stanford sensitivity: 100 nA/V Offsets: 20 pA
# It Stanford sensitivity: 20 nA/V Offsets: 1 pA
# Iref Stanford sensitivity: 5 nA/V Offsets: 1 pA
#
# Ascii output file name: 'Fe//ascii/264095_FeBr3_10.dat'
# Nexus output file: '/dls/b18/data/2016/sp10306-9/Fe//nexus/264095_FeBr3_10.nxs'
# XML folder and files:
# /dls/b18/data/2016/sp10306-9/xml/Fe/
# QEXAFS_Parameters
# Sample_Parameters
# Detector_Parameters
# Output_Parameters
# The contents of these files are also stored in the nexus file.
#
# Sample name: FeBr3
# Sample description: FeBr3
# Additional comments: default additional comments
# command: qexafs_energy 6912.0 8062.0 3286 242.57 qexafs_counterTimer01 qexafs_xspress QexafsFFI0
#
#
# qexafs_energy	    time	      I0	     It	   Iref	 lnI0It	lnItIref	Element0	Element1	Element2	Element3	Element4	Element5	Element6	Element7	Element8	    FF	 QexafsFFI0
      6914.38	0.078887	844577.0	82037.0	18840.0	2.33167	 1.47119	   22.21	    2.01	   15.11	   11.08	   33.66	   24.35	   41.91	   18.22	   23.30	191.85	0.000227154
      6914.68	0.076521	819575.0	79657.0	18322.0	2.33106	 1.46963	   12.12	    5.03	    5.03	   10.07	   36.70	   27.38	   40.88	   18.22	   22.28	177.70	0.000216825
      6914.98	0.074240	795199.0	77374.0	17738.0	2.32994	 1.47294	   17.16	    7.04	    8.06	   11.08	   17.32	   22.31	   21.46	   27.35	   25.32	157.09	0.000197549
      6915.28	0.071066	761795.0	74053.0	17032.0	2.33090	 1.46969	   13.12	    8.04	   10.07	    6.04	   27.53	   16.22	   40.87	   14.18	   23.29	159.35	0.000209174
      6915.57	0.073752	790027.0	76861.0	17711.0	2.33007	 1.46781	   17.16	    5.03	    8.06	    6.04	   26.50	   17.23	   34.73	   12.15	   23.29	150.19	0.000190110
      6915.87	0.075004	803533.0	78345.0	17989.0	2.32790	 1.47136	   21.20	    8.04	   16.11	    9.07	   33.64	   19.26	   39.86	   16.20	   30.39	193.77	0.000241142
      6916.17	0.070008	749829.0	73085.0	16820.0	2.32822	 1.46905	   18.17	    2.01	   12.08	   11.08	   33.64	   21.29	   34.75	   23.28	   26.32	182.63	0.000243558
      6916.47	0.073669	788889.0	76963.0	17763.0	2.32730	 1.46621	   17.16	    5.03	   11.07	    6.04	   26.50	   23.31	   44.97	   28.35	   31.41	193.84	0.000245714
      6916.77	0.078861	844658.0	82347.0	18958.0	2.32799	 1.46872	   12.11	    7.04	   16.11	    9.06	   47.94	   22.30	   34.74	   19.23	   32.42	200.95	0.000237904
      6917.07	0.072594	777834.0	75972.0	17467.0	2.32615	 1.47005	   16.16	    6.03	    8.05	   15.10	   26.50	   29.42	   37.77	    9.11	   21.26	169.40	0.000217779
      6917.37	0.070235	751996.0	73464.0	16952.0	2.32594	 1.46641	   23.21	    8.04	    9.06	    9.07	   28.53	   20.27	   30.66	   16.19	   27.34	172.36	0.000229201
      6917.66	0.069080	738981.0	72208.0	16608.0	2.32572	 1.46967	   20.19	    4.02	    8.05	    5.03	   28.53	   15.20	   29.64	   12.15	   22.29	145.12	0.000196374
      6917.96	0.075194	805595.0	78832.0	18198.0	2.32426	 1.46601	   25.25	    5.03	    9.06	   11.08	   20.40	   29.41	   27.60	   15.19	   33.45	176.46	0.000219044
      6918.26	0.076304	816778.0	79956.0	18432.0	2.32389	 1.46739	   20.19	    3.02	   11.07	    3.02	   29.57	   16.23	   37.80	   15.19	   19.25	155.34	0.000190186
      6918.56	0.076425	818512.0	80218.0	18494.0	2.32274	 1.46730	   23.22	    9.05	    6.04	   10.07	   41.76	   13.18	   28.61	   13.16	   25.31	170.40	0.000208183
      6918.86	0.077887	834297.0	81785.0	18841.0	2.32250	 1.46806	   25.25	    7.04	   17.12	    3.02	   28.53	   27.38	   40.88	   12.15	   26.33	187.69	0.000224970
      6919.16	0.070891	758949.0	74442.0	17181.0	2.32191	 1.46622	   11.10	    6.03	    6.04	    6.04	   21.39	   19.26	   36.80	   14.18	   22.28	143.12	0.000188580
      6919.46	0.071925	769105.0	75573.0	17360.0	2.32013	 1.47093	   18.18	    2.01	   11.08	   11.08	   29.57	   16.22	   30.67	   14.18	   27.36	160.34	0.000208480
      6919.76	0.070914	759045.0	74543.0	17219.0	2.32068	 1.46536	   13.12	    7.04	    5.03	    7.05	   38.74	   16.22	   39.84	   24.30	   16.21	167.55	0.000220741
      6920.06	0.077025	824575.0	81025.0	18743.0	2.32011	 1.46394	   17.16	    6.03	    8.05	    7.05	   30.58	   27.37	   31.67	   15.19	   26.35	169.45	0.000205505
      6920.35	0.071068	760700.0	74748.0	17263.0	2.32012	 1.46556	   24.23	    3.02	   11.08	    6.04	   30.59	   17.23	   44.99	   12.15	   25.33	174.64	0.000229581
      6920.65	0.076728	820848.0	80793.0	18698.0	2.31845	 1.46347	   20.20	    3.02	   13.09	    7.05	   25.48	   28.40	   35.79	   17.20	   28.36	178.59	0.000217569
      6920.95	0.078011	834938.0	82164.0	18971.0	2.31864	 1.46581	   22.21	    6.03	   17.12	   12.09	   29.56	   36.50	   34.76	   20.25	   31.40	209.92	0.000251417
      6921.25	0.071105	760471.0	74931.0	17345.0	2.31737	 1.46326	   29.29	    5.03	   10.07	    5.03	   22.43	   19.26	   26.58	   22.28	   23.30	163.27	0.000214702
      6921.55	0.067608	723735.0	71343.0	16551.0	2.31693	 1.46105	   20.19	    9.05	   12.08	    6.04	   17.33	   18.25	   32.71	   23.29	   22.29	161.23	0.000222773
      6921.85	0.074756	799614.0	78868.0	18270.0	2.31635	 1.46252	   23.22	    7.04	   12.08	    7.05	   40.79	   24.32	   39.82	   19.24	   33.43	207.00	0.000258869
      6922.15	0.077327	827363.0	81672.0	18882.0	2.31553	 1.46450	   16.15	    6.03	   15.10	   17.12	   35.69	   27.38	   37.83	   18.22	   34.45	207.97	0.000251371
      6922.45	0.074188	794048.0	78472.0	18181.0	2.31440	 1.46236	   18.17	    8.04	    8.06	    6.04	   29.60	   26.35	   48.05	   13.17	   21.27	178.75	0.000225113
      6922.75	0.078390	838242.0	82885.0	19150.0	2.31385	 1.46515	   21.19	    3.02	   10.06	    9.06	   34.65	   23.32	   40.87	   20.24	   27.35	189.77	0.000226396
      6923.05	0.070794	756849.0	74871.0	17348.0	2.31340	 1.46229	   14.13	    6.03	   17.12	    8.06	   25.51	   20.28	   39.85	   19.24	   35.46	185.69	0.000245344
      6923.35	0.072731	778578.0	77029.0	17857.0	2.31329	 1.46179	   23.22	    6.03	   10.07	    6.04	   28.53	   20.27	   35.75	   20.25	   15.19	165.35	0.000212380
      6923.64	0.070225	751530.0	74448.0	17293.0	2.31201	 1.45980	   23.22	    5.03	    7.05	    9.06	   41.82	   17.23	   24.54	   19.24	   19.25	166.44	0.000221470
      6923.94	0.075833	811705.0	80462.0	18758.0	2.31135	 1.45616	   16.15	   11.07	   16.11	   13.09	   24.46	   27.38	   40.93	   11.14	   23.31	183.63	0.000226230
      6924.24	0.074148	793296.0	78691.0	18246.0	2.31067	 1.46158	   13.13	    3.02	   11.08	    7.05	   29.57	   14.20	   48.05	    9.11	   26.34	161.53	0.000203622
      6924.54	0.071650	766411.0	76131.0	17705.0	2.30926	 1.45861	   16.15	    4.02	    8.05	    6.04	   30.59	   21.28	   38.81	   12.15	   31.38	168.48	0.000219828
      6924.84	0.076986	823774.0	81802.0	18973.0	2.30959	 1.46128	   21.19	    6.03	   16.11	   10.07	   25.50	   29.41	   33.73	   21.27	   29.39	192.71	0.000233941
      6925.14	0.077188	825829.0	82064.0	19046.0	2.30889	 1.46064	   20.20	   12.07	   11.08	   14.10	   27.51	   31.44	   43.93	   18.23	   23.30	201.87	0.000244440
      6925.44	0.070212	751110.0	74711.0	17404.0	2.30792	 1.45693	   19.19	    6.03	   16.11	    9.06	   24.46	   23.32	   33.72	   14.18	   26.34	172.40	0.000229531
      6925.74	0.064645	691246.0	68783.0	15996.0	2.30754	 1.45862	   15.15	    5.03	    6.04	   11.07	   18.34	   24.34	   34.77	   18.23	   28.38	161.36	0.000233426
      6926.04	0.076185	815094.0	81129.0	18893.0	2.30726	 1.45725	   14.14	    9.05	   17.11	   10.07	   35.68	   17.24	   42.95	   17.21	   21.26	184.72	0.000226621
