# Diamond Light Source
# Instrument: B18-CORE XAS Date: Sat, 30 Jul 2016 05:04:11 BST
# Ring energy:   3.0
# Ring current - start: 300.3
# Primary slits:  vertical gap=  2.4; horizontal gap= 52.0; vertical offset=  0.4; horizontal offset= -1.0
# Secondary slits:  vertical gap=  5.0; horizontal gap= 23.0; vertical offset=  5.3; horizontal offset= -14.5
# OH Mirror Coating: Pt
# White beam filter: 140um PyC
# Crystal cut: Si(111)
# PostDCM slits:  vertical gap= 18.0; horizontal gap= 28.0; vertical offset= -9.1; horizontal offset= -16.5
# Experimental slits:  vertical gap= 30.0; horizontal gap= 45.0; vertical offset=  5.0; horizontal offset= -17.5
# HR Mirror : in; Y: -39.2; Pitch:  8.3; Coating: Pt
# Mirror 2: Pitch:  2.2; Height: -6.3; Yaw: -1.5; Bend:  0.8;
# I0 Stanford sensitivity: 100 nA/V Offsets: 20 pA
# It Stanford sensitivity: 20 nA/V Offsets: 1 pA
# Iref Stanford sensitivity: 5 nA/V Offsets: 1 pA
#
# Ascii output file name: 'Fe//ascii/264091_FeBr3_6.dat'
# Nexus output file: '/dls/b18/data/2016/sp10306-9/Fe//nexus/264091_FeBr3_6.nxs'
# XML folder and files:
# /dls/b18/data/2016/sp10306-9/xml/Fe/
# QEXAFS_Parameters
# Sample_Parameters
# Detector_Parameters
# Output_Parameters
# The contents of these files are also stored in the nexus file.
#
# Sample name: FeBr3
# Sample description: FeBr3
# Additional comments: default additional comments
# command: qexafs_energy 6912.0 8062.0 3286 242.57 qexafs_counterTimer01 qexafs_xspress QexafsFFI0
#
#
# qexafs_energy	    time	      I0	     It	   Iref	 lnI0It	lnItIref	Element0	Element1	Element2	Element3	Element4	Element5	Element6	Element7	Element8	    FF	 QexafsFFI0
      6906.93	0.075884	813346.0	78919.0	18013.0	2.33273	 1.47733	   18.18	    8.04	   14.10	    8.06	   26.49	   29.41	   35.77	   18.21	   27.34	185.59	0.000228184
      6907.23	0.071960	771047.0	74814.0	17020.0	2.33274	 1.48062	   17.17	    2.01	   12.09	    9.06	   33.65	   24.34	   34.75	   11.14	   34.45	178.65	0.000231697
      6907.52	0.070494	754809.0	73337.0	16680.0	2.33140	 1.48085	   13.13	    7.04	    9.06	   12.09	   26.50	   18.26	   32.68	   18.23	   27.35	164.32	0.000217698
      6907.82	0.071404	765031.0	74374.0	16964.0	2.33081	 1.47801	   21.19	    9.05	   13.08	    8.06	   26.49	   12.17	   35.75	   21.27	   26.34	173.39	0.000226650
      6908.12	0.075943	813335.0	79107.0	18073.0	2.33034	 1.47638	   31.30	    0.00	   12.08	   18.13	   42.82	   24.34	   33.75	   22.28	   25.33	210.03	0.000258231
      6908.42	0.070659	756773.0	73666.0	16829.0	2.32952	 1.47644	   21.20	    2.01	   11.08	    6.04	   31.59	   20.28	   30.67	   16.21	   27.36	166.44	0.000219931
      6908.71	0.078972	845889.0	82438.0	18831.0	2.32834	 1.47654	   30.29	    5.03	   15.10	    5.03	   22.41	   31.44	   37.79	   25.31	   34.45	206.86	0.000244543
      6909.01	0.074394	796970.0	77637.0	17711.0	2.32877	 1.47786	   14.13	   14.08	   11.07	    9.06	   25.49	   17.24	   46.97	   17.21	   20.26	175.51	0.000220223
      6909.31	0.074028	793069.0	77334.0	17669.0	2.32778	 1.47632	   20.19	    4.02	    7.05	    7.05	   23.43	   23.32	   33.71	   17.21	   23.28	159.25	0.000200799
      6909.61	0.064986	695776.0	67961.0	15498.0	2.32609	 1.47822	   15.14	    4.02	   10.07	    9.07	   32.60	   22.32	   38.84	    7.09	   22.27	161.41	0.000231991
