# Diamond Light Source
# Instrument: B18-CORE XAS Date: Sat, 30 Jul 2016 00:09:07 BST
# Ring energy:   3.0
# Ring current - start: 298.6
# Primary slits:  vertical gap=  2.4; horizontal gap= 52.0; vertical offset=  0.4; horizontal offset= -1.0
# Secondary slits:  vertical gap=  5.0; horizontal gap= 23.0; vertical offset=  5.3; horizontal offset= -14.5
# OH Mirror Coating: Pt
# White beam filter: 140um PyC
# Crystal cut: Si(111)
# PostDCM slits:  vertical gap= 18.0; horizontal gap= 28.0; vertical offset= -9.1; horizontal offset= -16.5
# Experimental slits:  vertical gap= 30.0; horizontal gap= 45.0; vertical offset=  5.0; horizontal offset= -17.5
# HR Mirror : in; Y: -39.2; Pitch:  8.3; Coating: Pt
# Mirror 2: Pitch:  2.2; Height: -6.3; Yaw: -1.5; Bend:  0.8;
# I0 Stanford sensitivity: 100 nA/V Offsets: 20 pA
# It Stanford sensitivity: 20 nA/V Offsets: 1 pA
# Iref Stanford sensitivity: 5 nA/V Offsets: 1 pA
#
# Ascii output file name: 'Fe//ascii/264039_HP5_2.dat'
# Nexus output file: '/dls/b18/data/2016/sp10306-9/Fe//nexus/264039_HP5_2.nxs'
# XML folder and files:
# /dls/b18/data/2016/sp10306-9/xml/Fe/
# QEXAFS_Parameters
# Sample_Parameters
# Detector_Parameters
# Output_Parameters
# The contents of these files are also stored in the nexus file.
#
# Sample name: HP5
# Sample description: Fe2 + BnBr2 + MgPhBr
# Additional comments: default additional comments
# command: qexafs_energy 6912.0 8062.0 3286 242.57 qexafs_counterTimer01 qexafs_xspress QexafsFFI0
#
#
# qexafs_energy	    time	      I0	       It	    Iref	  lnI0It	lnItIref	Element0	Element1	Element2	Element3	Element4	Element5	Element6	Element7	Element8	    FF	 QexafsFFI0
      6906.93	0.075319	830408.0	2337476.0	601603.0	-1.03491	 1.35723	  111.94	   54.63	   91.38	   64.32	  123.84	   80.94	  108.88	   72.36	  100.49	808.80	0.000973974
      6907.23	0.072726	802229.0	2241158.0	577387.0	-1.02735	 1.35624	  112.89	   59.79	   70.49	   72.63	  135.56	   90.37	  120.67	   76.53	   88.88	827.81	0.001031883
      6907.52	0.071793	791764.0	2221533.0	572203.0	-1.03169	 1.35646	  128.66	   53.62	   87.16	   71.61	  129.18	   69.41	  145.38	   70.19	   98.36	853.58	0.001078080
      6907.82	0.071329	786924.0	2197521.0	566432.0	-1.02695	 1.35573	  136.01	   44.32	   74.64	   61.27	  126.02	   92.52	  131.40	   70.23	   94.18	830.58	0.001055476
      6908.12	0.074352	820170.0	2300684.0	593137.0	-1.03145	 1.35554	  103.61	   64.97	   83.01	   64.40	  111.92	  108.33	  147.78	   67.05	  104.73	855.80	0.001043439
      6908.42	0.070410	777257.0	2161134.0	557538.0	-1.02262	 1.35486	  115.06	   47.48	   71.65	   49.88	  108.90	   69.46	  122.85	   66.06	  103.70	755.02	0.000971388
      6908.71	0.080100	883363.0	2476623.0	638800.0	-1.03092	 1.35506	  141.30	   79.39	  104.84	   78.96	  147.67	  104.09	  126.27	   81.81	   99.38	963.73	0.001090982
      6909.01	0.072574	801203.0	2234095.0	576357.0	-1.02548	 1.35486	  112.97	   49.49	   64.33	   63.33	  127.12	   88.33	  116.36	   75.44	  102.61	799.97	0.000998465
      6909.31	0.073819	814161.0	2288378.0	590605.0	-1.03344	 1.35445	  142.30	   55.67	   86.08	   64.32	  122.75	   94.47	  128.13	   91.17	   99.47	884.36	0.001086221
      6909.61	0.065594	723748.0	2025835.0	523359.0	-1.02929	 1.35347	  107.70	   52.60	   77.85	   53.98	  108.71	   78.88	  118.52	   71.38	   73.25	742.87	0.001026425
