# Diamond Light Source
# Instrument: B18-CORE XAS Date: Sat, 30 Jul 2016 00:39:45 BST
# Ring energy:   3.0
# Ring current - start: 298.4
# Primary slits:  vertical gap=  2.4; horizontal gap= 52.0; vertical offset=  0.4; horizontal offset= -1.0
# Secondary slits:  vertical gap=  5.0; horizontal gap= 23.0; vertical offset=  5.3; horizontal offset= -14.5
# OH Mirror Coating: Pt
# White beam filter: 140um PyC
# Crystal cut: Si(111)
# PostDCM slits:  vertical gap= 18.0; horizontal gap= 28.0; vertical offset= -9.1; horizontal offset= -16.5
# Experimental slits:  vertical gap= 30.0; horizontal gap= 45.0; vertical offset=  5.0; horizontal offset= -17.5
# HR Mirror : in; Y: -39.2; Pitch:  8.3; Coating: Pt
# Mirror 2: Pitch:  2.2; Height: -6.3; Yaw: -1.5; Bend:  0.8;
# I0 Stanford sensitivity: 100 nA/V Offsets: 20 pA
# It Stanford sensitivity: 20 nA/V Offsets: 1 pA
# Iref Stanford sensitivity: 5 nA/V Offsets: 1 pA
#
# Ascii output file name: 'Fe//ascii/264046_HP5_9.dat'
# Nexus output file: '/dls/b18/data/2016/sp10306-9/Fe//nexus/264046_HP5_9.nxs'
# XML folder and files:
# /dls/b18/data/2016/sp10306-9/xml/Fe/
# QEXAFS_Parameters
# Sample_Parameters
# Detector_Parameters
# Output_Parameters
# The contents of these files are also stored in the nexus file.
#
# Sample name: HP5
# Sample description: Fe2 + BnBr2 + MgPhBr
# Additional comments: default additional comments
# command: qexafs_energy 6912.0 8062.0 3286 242.57 qexafs_counterTimer01 qexafs_xspress QexafsFFI0
#
#
# qexafs_energy	    time	      I0	       It	    Iref	  lnI0It	lnItIref	Element0	Element1	Element2	Element3	Element4	Element5	Element6	Element7	Element8	    FF	 QexafsFFI0
      6980.69	0.073772	805913.0	2630055.0	789481.0	-1.18278	 1.20338	   93.18	   50.54	   68.50	   67.58	  112.33	   77.87	  117.79	   57.76	   72.22	717.77	0.000890625
      6981.00	0.072587	791922.0	2587633.0	774938.0	-1.18404	 1.20572	   92.23	   59.86	   65.49	   48.87	  117.66	   74.78	  127.34	   72.50	   85.96	744.70	0.000940369
      6981.30	0.075112	819652.0	2677706.0	801545.0	-1.18384	 1.20617	   80.69	   49.57	   70.66	   63.35	  104.65	   73.66	  104.61	   57.75	   93.26	698.21	0.000851834
      6981.61	0.071136	776028.0	2536106.0	764231.0	-1.18420	 1.19952	   95.28	   50.57	   63.36	   54.07	   97.10	   74.75	   92.76	   76.64	   81.75	686.27	0.000884340
      6981.91	0.075389	822864.0	2687590.0	807787.0	-1.18361	 1.20210	   97.40	   51.60	   66.49	   66.52	  110.07	   75.74	  110.02	   56.67	  101.63	736.14	0.000894605
      6982.22	0.073746	805076.0	2628891.0	789436.0	-1.18338	 1.20300	  114.16	   47.49	   68.52	   53.00	  108.98	   84.13	  111.16	   74.52	   82.84	744.82	0.000925158
      6982.52	0.070617	770525.0	2517598.0	756864.0	-1.18399	 1.20188	  101.62	   42.33	   64.39	   51.94	  105.71	   73.73	  141.52	   43.05	   80.70	705.00	0.000914955
      6982.83	0.066870	730156.0	2383875.0	717941.0	-1.18322	 1.20010	   79.54	   40.27	   68.54	   47.84	  110.20	   72.67	  103.66	   47.27	   89.09	659.08	0.000902662
      6983.13	0.073820	806276.0	2631500.0	792328.0	-1.18288	 1.20033	  103.72	   44.39	   69.58	   73.78	  106.84	   62.10	   99.38	   75.60	   88.09	723.48	0.000897314
      6983.44	0.074158	809976.0	2643808.0	792729.0	-1.18297	 1.20449	   94.37	   43.33	   72.78	   58.24	   92.92	   85.29	  120.12	   54.66	   78.61	700.31	0.000864606
      6983.74	0.077981	851694.0	2780111.0	837546.0	-1.18302	 1.19977	   95.32	   57.79	   55.01	   71.75	   94.06	   72.66	  133.97	   51.48	   93.27	725.31	0.000851608
      6984.04	0.079237	865684.0	2824824.0	860454.0	-1.18268	 1.18874	   93.21	   60.92	   89.32	   58.14	  110.03	   74.73	  103.66	   70.28	   92.13	752.42	0.000869162
      6984.35	0.073891	807015.0	2634093.0	798214.0	-1.18295	 1.19392	  115.21	   41.28	   67.57	   60.29	   92.84	   98.99	   93.92	   50.43	  105.99	726.51	0.000900247
      6984.65	0.072098	787720.0	2570230.0	780196.0	-1.18261	 1.19221	   79.59	   48.54	   74.81	   53.00	  104.69	   52.62	  122.06	   56.66	   84.80	676.75	0.000859129
      6984.96	0.072175	788723.0	2572929.0	778331.0	-1.18239	 1.19565	  106.78	   34.05	   65.41	   45.73	  100.44	   71.60	  110.20	   64.11	   97.50	695.83	0.000882221
      6985.26	0.074891	818079.0	2669981.0	813481.0	-1.18287	 1.18850	  111.06	   42.34	   68.66	   70.74	  104.77	   75.82	  116.80	   72.50	   88.07	750.76	0.000917708
      6985.57	0.074258	811789.0	2647046.0	802987.0	-1.18196	 1.19286	   98.60	   43.35	   58.20	   45.72	   82.14	   71.57	  116.86	   64.02	   93.29	673.73	0.000829935
      6985.87	0.073036	798644.0	2603734.0	789345.0	-1.18179	 1.19350	   84.89	   44.39	   75.81	   47.83	  117.86	   67.33	  138.25	   71.41	   79.67	727.43	0.000910831
      6986.18	0.076832	839839.0	2738845.0	833981.0	-1.18208	 1.18908	   97.39	   47.47	   69.64	   64.44	  118.80	   91.70	  104.71	   56.73	  101.67	752.54	0.000896057
      6986.48	0.074178	811055.0	2644308.0	803849.0	-1.18183	 1.19075	   97.44	   56.80	   63.35	   53.02	  111.35	   94.79	  124.22	   61.97	   93.30	756.23	0.000932401
      6986.79	0.069304	757757.0	2470606.0	748833.0	-1.18186	 1.19370	  103.78	   49.55	   60.29	   62.41	   95.20	   76.85	  103.77	   47.25	   72.33	671.42	0.000886061
      6987.09	0.067306	736176.0	2399428.0	727774.0	-1.18152	 1.19300	   93.27	   54.67	   58.23	   48.90	   96.00	   54.71	   82.02	   44.09	   78.68	610.57	0.000829377
