# Diamond Light Source
# Instrument: B18-CORE XAS Date: Sat, 30 Jul 2016 00:04:44 BST
# Ring energy:   3.0
# Ring current - start: 300.1
# Primary slits:  vertical gap=  2.4; horizontal gap= 52.0; vertical offset=  0.4; horizontal offset= -1.0
# Secondary slits:  vertical gap=  5.0; horizontal gap= 23.0; vertical offset=  5.3; horizontal offset= -14.5
# OH Mirror Coating: Pt
# White beam filter: 140um PyC
# Crystal cut: Si(111)
# PostDCM slits:  vertical gap= 18.0; horizontal gap= 28.0; vertical offset= -9.1; horizontal offset= -16.5
# Experimental slits:  vertical gap= 30.0; horizontal gap= 45.0; vertical offset=  5.0; horizontal offset= -17.5
# HR Mirror : in; Y: -39.2; Pitch:  8.3; Coating: Pt
# Mirror 2: Pitch:  2.2; Height: -6.3; Yaw: -1.5; Bend:  0.8;
# I0 Stanford sensitivity: 100 nA/V Offsets: 20 pA
# It Stanford sensitivity: 20 nA/V Offsets: 1 pA
# Iref Stanford sensitivity: 5 nA/V Offsets: 1 pA
#
# Ascii output file name: 'Fe//ascii/264038_HP5_1.dat'
# Nexus output file: '/dls/b18/data/2016/sp10306-9/Fe//nexus/264038_HP5_1.nxs'
# XML folder and files:
# /dls/b18/data/2016/sp10306-9/xml/Fe/
# QEXAFS_Parameters
# Sample_Parameters
# Detector_Parameters
# Output_Parameters
# The contents of these files are also stored in the nexus file.
#
# Sample name: HP5
# Sample description: Fe2 + BnBr2 + MgPhBr
# Additional comments: default additional comments
# command: qexafs_energy 6912.0 8062.0 3286 242.57 qexafs_counterTimer01 qexafs_xspress QexafsFFI0
#
#
# qexafs_energy	    time	      I0	       It	    Iref	   lnI0It	lnItIref	Element0	Element1	Element2	Element3	Element4	Element5	Element6	Element7	Element8	    FF	 QexafsFFI0
      6962.78	0.074516	827632.0	2440429.0	663640.0	-1.08136	 1.30219	  106.98	   56.81	   79.02	   54.07	  102.60	   87.40	  121.11	   65.11	   94.34	767.43	0.000927259
      6963.08	0.074511	827146.0	2450804.0	668022.0	-1.08619	 1.29985	  112.12	   51.64	   76.87	   60.31	   92.91	   93.82	  149.27	   75.70	   82.87	795.52	0.000961764
      6963.39	0.078818	874937.0	2590220.0	705471.0	-1.08535	 1.30063	  129.95	   53.69	   76.94	   74.83	  128.54	   77.90	  133.18	   60.97	   70.24	806.23	0.000921472
      6963.69	0.076442	848250.0	2505843.0	683175.0	-1.08321	 1.29963	  108.89	   59.89	   93.52	   66.58	  123.15	   70.55	  111.35	   73.53	  100.68	808.14	0.000952710
      6963.99	0.072701	807278.0	2378998.0	648439.0	-1.08077	 1.29987	  124.84	   48.56	   65.54	   65.54	   94.96	   75.81	  124.51	   56.69	   94.46	750.92	0.000930192
      6964.29	0.073122	811329.0	2389920.0	651865.0	-1.08034	 1.29918	   95.45	   58.86	   68.56	   52.03	  105.95	   82.18	  126.43	   74.62	   87.00	751.08	0.000925737
      6964.60	0.070884	787001.0	2328871.0	635545.0	-1.08491	 1.29866	  109.05	   53.69	   60.27	   56.16	  106.07	   76.88	  109.34	   55.74	   75.57	702.77	0.000892976
      6964.90	0.075701	840456.0	2493849.0	680052.0	-1.08764	 1.29941	  121.69	   50.61	   57.15	   65.61	  113.50	   80.07	  127.63	   73.65	   80.76	770.67	0.000916971
      6965.20	0.071982	799046.0	2376646.0	649372.0	-1.09003	 1.29744	   99.57	   49.59	   61.39	   55.08	   94.05	   88.51	  120.07	   49.40	   94.49	712.16	0.000891266
      6965.51	0.075366	836679.0	2481615.0	677763.0	-1.08722	 1.29787	  122.72	   56.82	   75.92	   53.06	  121.05	   81.16	  130.90	   71.42	   82.89	795.94	0.000951307
      6965.81	0.077086	855384.0	2533338.0	692595.0	-1.08574	 1.29685	  131.13	   40.29	   86.37	   53.11	  133.11	   85.39	  130.90	   67.32	   95.55	823.17	0.000962338
      6966.11	0.072641	805974.0	2402009.0	656268.0	-1.09201	 1.29749	  124.75	   56.81	   74.87	   45.75	  104.78	   73.76	  121.15	   70.41	   94.42	766.70	0.000951276
      6966.42	0.066919	742884.0	2200647.0	601982.0	-1.08597	 1.29628	  102.71	   46.49	   71.74	   38.46	  106.97	   75.92	  109.15	   68.31	   80.76	700.50	0.000942950
      6966.72	0.071098	789203.0	2346664.0	641277.0	-1.08973	 1.29729	  126.93	   48.55	   71.73	   56.16	  115.39	   63.16	  119.07	   60.98	  102.89	764.85	0.000969147
      6967.02	0.078402	870251.0	2587001.0	707630.0	-1.08947	 1.29633	  115.37	   47.54	   92.53	   65.53	  110.27	  101.16	  140.54	   61.00	   81.87	815.81	0.000937442
      6967.33	0.077771	863451.0	2568931.0	703482.0	-1.09031	 1.29520	  117.39	   67.15	   70.69	   65.57	   98.32	   70.55	  116.83	   81.98	   98.54	787.02	0.000911479
      6967.63	0.076710	851535.0	2534910.0	693917.0	-1.09087	 1.29556	  101.71	   46.47	   63.45	   63.48	  111.29	   81.16	  132.98	   65.09	   94.44	760.07	0.000892584
      6967.93	0.071073	789350.0	2343125.0	641421.0	-1.08803	 1.29555	  109.00	   41.33	   56.19	   64.48	  101.58	   83.27	  125.44	   54.58	  100.69	736.55	0.000933112
      6968.24	0.072914	809610.0	2408317.0	659818.0	-1.09013	 1.29472	  118.45	   49.60	   57.15	   48.90	  118.04	   79.11	  103.81	   80.92	   74.53	730.51	0.000902304
      6968.54	0.072316	802549.0	2396904.0	656754.0	-1.09414	 1.29462	  100.62	   44.44	   63.42	   57.26	  105.78	   97.98	  119.85	   64.10	   89.09	742.55	0.000925243
      6968.84	0.075532	838334.0	2502206.0	685809.0	-1.09351	 1.29433	  119.56	   50.61	   82.15	   54.08	  136.40	   99.04	  121.04	   67.26	   80.77	810.91	0.000967285
      6969.15	0.073045	810590.0	2417279.0	662600.0	-1.09264	 1.29423	  116.33	   59.91	   64.45	   54.13	   96.15	   63.18	  112.43	   68.31	   74.45	709.33	0.000875076
      6969.45	0.074028	822339.0	2433740.0	666913.0	-1.08503	 1.29452	  128.02	   45.46	   77.98	   57.21	  108.26	   85.45	  105.89	   66.22	   93.30	767.79	0.000933668
      6969.75	0.077685	862819.0	2571990.0	705377.0	-1.09223	 1.29370	   98.54	   46.48	   69.69	   70.74	  139.52	   74.75	  119.87	   68.26	   85.98	773.84	0.000896874
      6970.06	0.072822	808899.0	2411581.0	662046.0	-1.09236	 1.29270	  106.88	   38.24	   70.75	   42.64	   99.26	   89.56	  107.06	   71.44	   93.45	719.27	0.000889195
