# Diamond Light Source
# Instrument: B18-CORE XAS Date: Sat, 30 Jul 2016 01:18:00 BST
# Ring energy:   3.0
# Ring current - start: 299.2
# Primary slits:  vertical gap=  2.4; horizontal gap= 52.0; vertical offset=  0.4; horizontal offset= -1.0
# Secondary slits:  vertical gap=  5.0; horizontal gap= 23.0; vertical offset=  5.3; horizontal offset= -14.5
# OH Mirror Coating: Pt
# White beam filter: 140um PyC
# Crystal cut: Si(111)
# PostDCM slits:  vertical gap= 18.0; horizontal gap= 28.0; vertical offset= -9.1; horizontal offset= -16.5
# Experimental slits:  vertical gap= 30.0; horizontal gap= 45.0; vertical offset=  5.0; horizontal offset= -17.5
# HR Mirror : in; Y: -39.2; Pitch:  8.3; Coating: Pt
# Mirror 2: Pitch:  2.2; Height: -6.3; Yaw: -1.5; Bend:  0.8;
# I0 Stanford sensitivity: 100 nA/V Offsets: 20 pA
# It Stanford sensitivity: 20 nA/V Offsets: 1 pA
# Iref Stanford sensitivity: 5 nA/V Offsets: 1 pA
#
# Ascii output file name: 'Fe//ascii/264051_Fe_I_4.dat'
# Nexus output file: '/dls/b18/data/2016/sp10306-9/Fe//nexus/264051_Fe_I_4.nxs'
# XML folder and files:
# /dls/b18/data/2016/sp10306-9/xml/Fe/
# QEXAFS_Parameters
# Sample_Parameters
# Detector_Parameters
# Output_Parameters
# The contents of these files are also stored in the nexus file.
#
# Sample name: Fe_I
# Sample description: Fedpbz2Br
# Additional comments: default additional comments
# command: qexafs_energy 6912.0 8062.0 3286 242.57 qexafs_counterTimer01 qexafs_xspress QexafsFFI0
#
#
# qexafs_energy	    time	      I0	       It	    Iref	  lnI0It	lnItIref	Element0	Element1	Element2	Element3	Element4	Element5	Element6	Element7	Element8	    FF	 QexafsFFI0
      6906.93	0.074539	816435.0	2657547.0	888580.0	-1.18021	 1.09553	   66.53	   33.48	   43.79	   38.71	   98.01	   59.75	  106.80	   30.83	   63.74	541.64	0.000663421
      6907.23	0.072396	793214.0	2580924.0	864053.0	-1.17981	 1.09427	   56.30	   27.37	   42.76	   30.55	   78.16	   72.18	   89.03	   47.24	   57.50	501.09	0.000631722
      6907.52	0.071215	780400.0	2539003.0	852557.0	-1.17972	 1.09129	   64.51	   33.47	   35.63	   37.70	   94.90	   63.85	  101.68	   44.17	   60.61	536.50	0.000687474
      6907.82	0.071212	780472.0	2538692.0	852436.0	-1.17951	 1.09131	   55.35	   23.33	   48.88	   35.66	   67.71	   58.77	   94.16	   24.66	   70.91	479.43	0.000614276
      6908.12	0.074240	813308.0	2646697.0	889741.0	-1.17996	 1.09014	   70.69	   28.41	   39.69	   25.47	   89.75	   59.74	   76.42	   44.18	   71.97	506.33	0.000622551
      6908.42	0.072542	794771.0	2586336.0	870678.0	-1.17994	 1.08873	   76.82	   27.39	   42.73	   37.67	   68.80	   47.42	   96.43	   40.05	   60.66	497.98	0.000626568
      6908.71	0.078358	858415.0	2793651.0	939421.0	-1.18002	 1.08984	   68.64	   27.39	   44.79	   32.61	   83.43	   56.70	   87.98	   41.13	   62.68	505.35	0.000588701
      6909.01	0.074019	810838.0	2638803.0	888682.0	-1.18001	 1.08834	   64.53	   23.33	   41.74	   30.55	   81.40	   48.43	   85.89	   59.60	   60.66	496.12	0.000611866
      6909.31	0.073791	808324.0	2630819.0	887663.0	-1.18009	 1.08646	   51.21	   23.33	   47.84	   45.83	   77.21	   70.08	  101.67	   48.30	   69.90	535.37	0.000662320
      6909.61	0.064427	705911.0	2297050.0	773392.0	-1.17989	 1.08859	   62.50	   19.28	   43.78	   29.53	   66.71	   63.88	   86.92	   37.98	   70.92	481.50	0.000682091
      6909.91	0.072272	791855.0	2576568.0	868060.0	-1.17984	 1.08795	   62.46	   25.36	   40.73	   24.45	   74.01	   57.71	   91.12	   50.37	   71.96	498.17	0.000629120
      6910.20	0.076639	839539.0	2732316.0	922275.0	-1.18005	 1.08606	   63.52	   37.55	   62.11	   45.84	   81.28	   47.35	   90.12	   38.02	   80.11	545.90	0.000650243
      6910.50	0.079059	865961.0	2818540.0	952877.0	-1.18013	 1.08449	   70.65	   34.48	   50.89	   32.60	   90.76	   57.70	   78.48	   55.47	   67.85	538.89	0.000622298
      6910.80	0.075190	823598.0	2680490.0	906749.0	-1.18007	 1.08389	   66.55	   33.48	   39.69	   33.62	   78.17	   54.64	   99.43	   32.84	   79.17	517.59	0.000628454
      6911.10	0.072456	793213.0	2583189.0	873612.0	-1.18069	 1.08414	   73.78	   38.58	   41.73	   26.47	   60.45	   58.78	   88.00	   40.05	   58.54	486.38	0.000613178
      6911.40	0.073319	803218.0	2613902.0	885241.0	-1.17997	 1.08274	   64.55	   18.26	   43.81	   32.61	   76.16	   51.54	   82.74	   53.45	   67.83	490.95	0.000611225
      6911.70	0.068965	755305.0	2458560.0	831564.0	-1.18021	 1.08402	   66.56	   28.41	   37.69	   31.58	   70.90	   46.37	   85.95	   43.14	   46.27	456.88	0.000604888
      6911.99	0.076913	841959.0	2742158.0	929860.0	-1.18077	 1.08147	   64.53	   37.53	   41.74	   34.62	   67.78	   67.98	   87.91	   39.01	   60.63	501.73	0.000595903
      6912.29	0.073190	801220.0	2609192.0	883149.0	-1.18066	 1.08330	   54.30	   29.43	   37.69	   38.73	   65.65	   57.74	  109.03	   39.07	   74.00	505.62	0.000631068
      6912.59	0.076656	839289.0	2732821.0	925394.0	-1.18053	 1.08287	   72.75	   22.32	   41.73	   43.80	   88.66	   56.66	   84.77	   40.08	   59.58	510.36	0.000608089
      6912.89	0.076349	835958.0	2722004.0	922147.0	-1.18055	 1.08242	   55.31	   31.45	   34.61	   38.71	   66.76	   57.68	   95.34	   57.51	   65.75	503.14	0.000601871
      6913.19	0.073231	801707.0	2610791.0	888287.0	-1.18067	 1.07811	   52.26	   25.38	   38.70	   32.61	   81.44	   63.92	   74.37	   49.31	   61.69	479.68	0.000598322
      6913.49	0.069274	758745.0	2469812.0	840267.0	-1.18023	 1.07818	   61.48	   24.36	   36.65	   32.59	   69.88	   43.29	   87.95	   33.90	   66.83	456.91	0.000602195
      6913.78	0.066793	731723.0	2381194.0	809771.0	-1.17996	 1.07861	   63.51	   24.36	   32.57	   35.64	   59.45	   46.35	   79.60	   26.70	   58.61	426.77	0.000583243
      6914.08	0.078175	856351.0	2786999.0	949171.0	-1.18004	 1.07713	   73.73	   33.47	   46.85	   31.56	   71.94	   58.70	   72.33	   56.53	   50.37	495.49	0.000578602
      6914.38	0.077803	851642.0	2773539.0	945589.0	-1.18071	 1.07607	   69.62	   24.35	   38.68	   40.73	   74.04	   63.85	  101.62	   44.21	   77.04	534.14	0.000627185
      6914.68	0.077897	853459.0	2777127.0	946441.0	-1.17987	 1.07646	   72.72	   29.43	   39.71	   48.89	   82.44	   64.94	   84.85	   59.63	   55.46	538.08	0.000630467
      6914.98	0.073546	805309.0	2621877.0	894487.0	-1.18042	 1.07540	   75.83	   35.51	   29.52	   38.69	   86.63	   62.89	  101.67	   52.43	   62.67	545.84	0.000677808
      6915.28	0.070148	768673.0	2501038.0	852310.0	-1.17980	 1.07651	   61.45	   22.32	   44.80	   29.55	   65.72	   50.54	  103.87	   33.88	   57.52	469.66	0.000611000
      6915.57	0.074549	816100.0	2657798.0	908863.0	-1.18072	 1.07306	   70.70	   33.48	   41.72	   37.66	   79.16	   65.94	   73.24	   39.06	   60.62	501.58	0.000614607
      6915.87	0.074538	816706.0	2657525.0	907810.0	-1.17987	 1.07412	   63.54	   25.37	   36.66	   28.53	   75.11	   57.71	   76.51	   57.57	   66.83	487.83	0.000597317
      6916.17	0.071015	777259.0	2531489.0	867631.0	-1.18079	 1.07080	   71.66	   26.38	   29.53	   21.39	   59.46	   61.83	   69.10	   36.96	   67.81	444.14	0.000571415
      6916.47	0.073526	804941.0	2621391.0	897551.0	-1.18069	 1.07179	   61.46	   28.41	   39.71	   23.42	   82.42	   50.51	   85.88	   38.03	   63.75	473.60	0.000588360
      6916.77	0.078076	855006.0	2783487.0	953753.0	-1.18035	 1.07106	   66.54	   33.48	   43.77	   37.69	   85.47	   60.79	   98.34	   43.14	   73.96	543.18	0.000635291
      6917.07	0.073286	802376.0	2612646.0	896613.0	-1.18054	 1.06949	   61.44	   27.39	   42.76	   36.66	   57.31	   48.44	   80.63	   50.35	   64.75	469.73	0.000585420
      6917.37	0.069255	758281.0	2469017.0	847649.0	-1.18052	 1.06911	   70.66	   25.36	   34.63	   30.56	   68.93	   59.80	   80.67	   36.99	   56.56	464.17	0.000612130
      6917.66	0.067570	739842.0	2408822.0	827108.0	-1.18046	 1.06896	   50.16	   25.36	   47.85	   26.49	   78.26	   54.61	   89.02	   45.21	   55.51	472.46	0.000638601
      6917.96	0.077436	847661.0	2760585.0	949936.0	-1.18072	 1.06680	   79.93	   30.45	   44.81	   31.57	   70.91	   73.22	   95.36	   58.63	   70.95	555.83	0.000655719
      6918.26	0.075181	823344.0	2680315.0	921062.0	-1.18032	 1.06816	   75.79	   36.54	   33.59	   33.60	   67.78	   58.74	   82.74	   48.29	   58.63	495.71	0.000602072
      6918.56	0.076827	841918.0	2739143.0	941573.0	-1.17972	 1.06785	   57.36	   32.47	   41.73	   34.62	   83.44	   66.00	   95.23	   47.26	   64.74	522.87	0.000621043
      6918.86	0.078501	859556.0	2798526.0	967955.0	-1.18043	 1.06166	   65.58	   29.43	   45.81	   30.56	   77.15	   61.79	   96.40	   46.23	   70.96	523.91	0.000609513
