# Diamond Light Source
# Instrument: B18-CORE XAS Date: Sat, 30 Jul 2016 01:13:37 BST
# Ring energy:   3.0
# Ring current - start: 300.6
# Primary slits:  vertical gap=  2.4; horizontal gap= 52.0; vertical offset=  0.4; horizontal offset= -1.0
# Secondary slits:  vertical gap=  5.0; horizontal gap= 23.0; vertical offset=  5.3; horizontal offset= -14.5
# OH Mirror Coating: Pt
# White beam filter: 140um PyC
# Crystal cut: Si(111)
# PostDCM slits:  vertical gap= 18.0; horizontal gap= 28.0; vertical offset= -9.1; horizontal offset= -16.5
# Experimental slits:  vertical gap= 30.0; horizontal gap= 45.0; vertical offset=  5.0; horizontal offset= -17.5
# HR Mirror : in; Y: -39.2; Pitch:  8.3; Coating: Pt
# Mirror 2: Pitch:  2.2; Height: -6.3; Yaw: -1.5; Bend:  0.8;
# I0 Stanford sensitivity: 100 nA/V Offsets: 20 pA
# It Stanford sensitivity: 20 nA/V Offsets: 1 pA
# Iref Stanford sensitivity: 5 nA/V Offsets: 1 pA
#
# Ascii output file name: 'Fe//ascii/264050_Fe_I_3.dat'
# Nexus output file: '/dls/b18/data/2016/sp10306-9/Fe//nexus/264050_Fe_I_3.nxs'
# XML folder and files:
# /dls/b18/data/2016/sp10306-9/xml/Fe/
# QEXAFS_Parameters
# Sample_Parameters
# Detector_Parameters
# Output_Parameters
# The contents of these files are also stored in the nexus file.
#
# Sample name: Fe_I
# Sample description: Fedpbz2Br
# Additional comments: default additional comments
# command: qexafs_energy 6912.0 8062.0 3286 242.57 qexafs_counterTimer01 qexafs_xspress QexafsFFI0
#
#
# qexafs_energy	    time	      I0	       It	    Iref	  lnI0It	lnItIref	Element0	Element1	Element2	Element3	Element4	Element5	Element6	Element7	Element8	    FF	 QexafsFFI0
      6906.93	0.075375	830861.0	2687430.0	877446.0	-1.17388	 1.11933	   59.41	   25.36	   44.81	   40.74	   83.48	   65.94	   89.08	   44.19	   78.12	531.13	0.000639257
      6907.23	0.072239	796548.0	2575511.0	839021.0	-1.17352	 1.12157	   76.83	   31.44	   54.99	   36.66	   74.11	   35.04	   81.78	   48.28	   62.72	501.84	0.000630022
      6907.52	0.071499	788316.0	2549089.0	832595.0	-1.17359	 1.11894	   57.34	   29.43	   33.60	   30.57	   66.74	   47.43	   89.01	   34.95	   61.66	450.72	0.000571753
      6907.82	0.071283	786268.0	2541633.0	832062.0	-1.17326	 1.11666	   90.18	   26.40	   49.89	   33.62	   73.06	   50.52	   93.28	   46.25	   72.99	536.20	0.000681949
      6908.12	0.075099	828232.0	2677518.0	877070.0	-1.17335	 1.11606	   62.50	   28.41	   29.53	   40.76	   97.09	   67.01	   95.35	   60.68	   82.25	563.58	0.000680461
      6908.42	0.070770	780389.0	2523254.0	824939.0	-1.17351	 1.11800	   56.35	   33.48	   46.83	   34.63	   77.20	   63.92	   94.24	   56.50	   76.02	539.17	0.000690903
      6908.71	0.077866	858923.0	2776163.0	907660.0	-1.17315	 1.11796	   77.91	   34.52	   39.72	   34.63	   88.73	   51.56	  104.79	   41.11	   73.97	546.94	0.000636772
      6909.01	0.074769	824300.0	2665660.0	872605.0	-1.17367	 1.11672	   84.00	   33.49	   39.70	   31.56	   61.57	   72.18	  113.14	   45.19	   62.72	543.57	0.000659428
      6909.31	0.073950	815350.0	2636484.0	864640.0	-1.17358	 1.11489	   67.64	   33.49	   49.87	   36.67	   76.21	   59.73	  120.63	   43.16	   59.66	547.05	0.000670937
      6909.61	0.064021	705613.0	2282496.0	749612.0	-1.17396	 1.11347	   54.31	   29.42	   38.68	   37.72	   67.78	   46.38	   79.59	   32.87	   61.67	448.42	0.000635509
      6909.91	0.072220	796366.0	2574755.0	845491.0	-1.17345	 1.11359	   56.36	   33.48	   46.82	   27.51	   73.03	   62.90	   98.47	   47.28	   70.98	516.85	0.000649009
      6910.20	0.078261	862253.0	2790289.0	918804.0	-1.17435	 1.11083	   68.62	   30.44	   47.84	   34.64	   87.59	   62.87	   74.33	   54.46	   66.79	527.58	0.000611857
      6910.50	0.078357	862806.0	2793652.0	919749.0	-1.17492	 1.11100	   71.72	   19.28	   36.65	   41.78	   76.14	   48.38	  105.77	   38.02	   64.76	502.50	0.000582406
      6910.80	0.075962	836994.0	2708318.0	891948.0	-1.17427	 1.11068	   62.52	   16.23	   46.82	   36.67	   72.01	   59.81	   93.23	   41.11	   55.52	483.92	0.000578162
      6911.10	0.072420	798631.0	2581979.0	849412.0	-1.17341	 1.11177	   55.31	   33.48	   40.71	   28.53	   79.35	   73.22	   76.41	   46.23	   54.47	487.70	0.000610676
      6911.40	0.072533	799332.0	2586119.0	853521.0	-1.17414	 1.10854	   60.40	   33.48	   33.59	   27.52	   89.75	   43.32	   98.52	   40.08	   67.84	494.50	0.000618640
      6911.70	0.069512	765393.0	2478287.0	818829.0	-1.17493	 1.10745	   61.47	   30.44	   35.63	   37.69	   69.83	   59.77	   82.77	   48.28	   75.00	500.89	0.000654419
      6911.99	0.076642	844804.0	2732357.0	904209.0	-1.17382	 1.10586	   69.67	   38.56	   40.72	   37.68	   84.52	   50.50	   94.26	   46.22	   85.39	547.52	0.000648106
      6912.29	0.073904	813896.0	2634828.0	872553.0	-1.17474	 1.10515	   74.86	   40.59	   52.93	   34.64	   67.80	   56.69	  112.14	   50.31	   72.00	561.96	0.000690453
      6912.59	0.076509	842551.0	2727577.0	903649.0	-1.17473	 1.10473	   58.39	   39.59	   40.73	   34.63	   66.81	   57.72	   89.05	   40.06	   75.02	502.00	0.000595808
      6912.89	0.075140	827993.0	2679058.0	885046.0	-1.17422	 1.10758	   50.21	   18.27	   36.64	   41.77	   88.61	   61.90	   80.63	   54.45	   62.70	495.17	0.000598037
      6913.19	0.072836	803100.0	2596784.0	857924.0	-1.17355	 1.10751	   67.64	   29.42	   34.60	   25.47	   81.48	   68.01	   86.94	   41.09	   75.06	509.71	0.000634672
      6913.49	0.069432	765491.0	2475303.0	819763.0	-1.17360	 1.10510	   50.22	   27.39	   41.76	   41.78	   79.36	   51.59	   93.33	   56.51	   52.40	494.35	0.000645797
      6913.78	0.067341	742289.0	2400790.0	796234.0	-1.17381	 1.10366	   59.40	   33.49	   30.53	   29.55	   76.19	   49.50	   68.07	   40.09	   61.64	448.47	0.000604166
